,MODEL,WEIGHTED,R2,AIC,BIC
23,"('MonthlyIncome', 'Record')",8240.93714834513,0.9156801087085051,28789.768232238202,28806.20613115155
59,"('Items', 'MonthlyIncome', 'Record')",8219.185262819448,0.9189146103857277,28721.493581019524,28743.410779570655
77,"('MonthlyIncome', 'Record', 'Gender_Male')",8208.679664847386,0.9183428134607249,28733.9384684622,28755.85566701333
132,"('Items', 'MonthlyIncome', 'Record', 'Gender_Male')",8207.979822431633,0.9214320744424498,28666.635025718326,28694.03152390724
205,"('Items', 'MonthlyIncome', 'Record', 'Gender_Male', 'CityTier_Tier_3')",8180.2558784845905,0.9223489115878934,28646.843951441566,28679.719749268264
79,"('MonthlyIncome', 'Record', 'CityTier_Tier_3')",8179.702914036554,0.9167638228674133,28767.857090246725,28789.774288797857
134,"('Items', 'MonthlyIncome', 'Record', 'CityTier_Tier_3')",8179.436539152437,0.9198819488223198,28701.23619030984,28728.632688498754
167,"('Age', 'Items', 'MonthlyIncome', 'Record', 'Gender_Male')",8173.117349254439,0.9219618631713125,28655.6494953942,28688.525293220897
155,"('MonthlyIncome', 'Record', 'Gender_Male', 'CityTier_Tier_3')",8170.000257104695,0.9193689092222718,28712.540713688733,28739.93721187765
94,"('Age', 'Items', 'MonthlyIncome', 'Record')",8169.74731857935,0.919355153310112,28712.84282596756,28740.239324156475
198,"('Items', 'MonthlyIncome', 'TransactionTime', 'Record', 'Gender_Male')",8169.7101416839405,0.9217770683247493,28659.838278038085,28692.714075864784
128,"('Items', 'MonthlyIncome', 'TransactionTime', 'Record')",8169.131806756888,0.9193216782034795,28713.577803035678,28740.974301224593
44,"('Age', 'MonthlyIncome', 'Record')",8168.315419076385,0.9161425545720491,28781.026608081764,28802.943806632895
204,"('Items', 'MonthlyIncome', 'Record', 'Gender_Male', 'CityTier_Tier_2')",8166.690519255916,0.9216132637422909,28663.543004893727,28696.418802720425
133,"('Items', 'MonthlyIncome', 'Record', 'CityTier_Tier_2')",8165.349015092688,0.9191159212520863,28718.088701075027,28745.48519926394
73,"('MonthlyIncome', 'TransactionTime', 'Record')",8165.010091489474,0.9159621466786187,28784.832581264,28806.74977981513
78,"('MonthlyIncome', 'Record', 'CityTier_Tier_2')",8163.63344793633,0.9158869976920334,28786.415551075304,28808.332749626436
112,"('Age', 'MonthlyIncome', 'Record', 'Gender_Male')",8161.354459308428,0.9188985958144015,28722.840776064684,28750.2372742536
148,"('MonthlyIncome', 'TransactionTime', 'Record', 'Gender_Male')",8155.379542391627,0.9185734320272688,28729.927135756447,28757.32363394536
154,"('MonthlyIncome', 'Record', 'Gender_Male', 'CityTier_Tier_2')",8154.5553439076775,0.918528568894191,28730.902624849492,28758.299123038407
226,"('Age', 'Items', 'MonthlyIncome', 'Record', 'Gender_Male', 'CityTier_Tier_3')",8152.494871592115,0.9228205854048197,28637.04992727722,28675.4050247417
241,"('Items', 'MonthlyIncome', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_3')",8149.91070151739,0.9226805630553773,28640.26004367985,28678.615141144328
219,"('Age', 'Items', 'MonthlyIncome', 'TransactionTime', 'Record', 'Gender_Male')",8143.365495399343,0.9223258182279114,28648.366883066858,28686.721980531336
244,"('Items', 'MonthlyIncome', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",8142.979606602301,0.9223048991097524,28648.843782462267,28687.198879926746
200,"('Items', 'MonthlyIncome', 'TransactionTime', 'Record', 'CityTier_Tier_3')",8142.0141923423425,0.9202735612358609,28693.555303613513,28726.431101440212
169,"('Age', 'Items', 'MonthlyIncome', 'Record', 'CityTier_Tier_3')",8141.921527337715,0.9202685266833974,28693.667134908676,28726.542932735374
225,"('Age', 'Items', 'MonthlyIncome', 'Record', 'Gender_Male', 'CityTier_Tier_2')",8139.601770876252,0.9221217656148853,28653.01325750299,28691.368354967468
240,"('Items', 'MonthlyIncome', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2')",8136.482508299336,0.9219526186648814,28656.8555943067,28695.21069177118
190,"('Age', 'MonthlyIncome', 'Record', 'Gender_Male', 'CityTier_Tier_3')",8134.430354275267,0.9198614350014467,28702.686472548157,28735.562270374856
206,"('Items', 'MonthlyIncome', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",8133.973805052478,0.9198366189901741,28703.23480221488,28736.11060004158
163,"('Age', 'Items', 'MonthlyIncome', 'TransactionTime', 'Record')",8132.971274790668,0.919782123496836,28704.4383284113,28737.314126237998
114,"('Age', 'MonthlyIncome', 'Record', 'CityTier_Tier_3')",8129.570237364624,0.9171675268088904,28760.244114684843,28787.640612873758
214,"('MonthlyIncome', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_3')",8129.42992028036,0.9195895968547849,28708.683718414806,28741.559516241505
168,"('Age', 'Items', 'MonthlyIncome', 'Record', 'CityTier_Tier_2')",8128.448845052894,0.9195362533174498,28709.858194341286,28742.733992167985
248,"('Age', 'Items', 'MonthlyIncome', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_3')",8128.121093692017,0.923170331594144,28630.001972582988,28673.83636968525
199,"('Items', 'MonthlyIncome', 'TransactionTime', 'Record', 'CityTier_Tier_2')",8128.082899974242,0.9195163551668998,28710.296096744947,28743.171894571646
150,"('MonthlyIncome', 'TransactionTime', 'Record', 'CityTier_Tier_3')",8127.122779076444,0.9170340949806701,28763.094659079135,28790.49115726805
217,"('MonthlyIncome', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",8124.543673275167,0.9193238885787597,28714.52616630535,28747.40196413205
156,"('MonthlyIncome', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",8121.306559206816,0.9167169252881676,28769.852092511974,28797.24859070089
183,"('Age', 'MonthlyIncome', 'TransactionTime', 'Record', 'Gender_Male')",8121.274520096925,0.9191460730367265,28718.425273311008,28751.301071137706
251,"('Age', 'Items', 'MonthlyIncome', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",8120.859269956821,0.9227769473407413,28639.046733652533,28682.881130754795
189,"('Age', 'MonthlyIncome', 'Record', 'Gender_Male', 'CityTier_Tier_2')",8119.733358430206,0.9190622343485713,28720.260699192437,28753.136497019135
254,"('Items', 'MonthlyIncome', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",8118.271817682172,0.922636740499791,28642.259261074152,28686.093658176414
108,"('Age', 'MonthlyIncome', 'TransactionTime', 'Record')",8116.273966130535,0.9164423996767161,28775.680231202423,28803.076729391338
247,"('Age', 'Items', 'MonthlyIncome', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2')",8115.377827414583,0.922479897965006,28645.846066284183,28689.680463386445
113,"('Age', 'MonthlyIncome', 'Record', 'CityTier_Tier_2')",8114.18488809468,0.9163284172797072,28778.094437295986,28805.4909354849
213,"('MonthlyIncome', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2')",8114.076864894739,0.918754457374872,28726.98239799781,28759.85819582451
221,"('Age', 'Items', 'MonthlyIncome', 'TransactionTime', 'Record', 'CityTier_Tier_3')",8113.014290243849,0.9206790207318174,28685.521981596306,28723.877079060785
149,"('MonthlyIncome', 'TransactionTime', 'Record', 'CityTier_Tier_2')",8111.160959580051,0.9161634032867577,28781.583698262657,28808.980196451572
242,"('Items', 'MonthlyIncome', 'TransactionTime', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",8104.71831843552,0.9202283844284785,28695.554868776606,28733.909966241084
227,"('Age', 'Items', 'MonthlyIncome', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",8104.625245733992,0.9202233274771826,28695.66713398302,28734.0222314475
235,"('Age', 'MonthlyIncome', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_3')",8102.32033064491,0.9200980848591627,28698.44527381057,28736.800371275047
220,"('Age', 'Items', 'MonthlyIncome', 'TransactionTime', 'Record', 'CityTier_Tier_2')",8099.712100931913,0.9199563404070189,28701.584210175395,28739.939307639874
238,"('Age', 'MonthlyIncome', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",8097.1526481445435,0.9198172255018124,28704.659514951745,28743.014612416224
246,"('MonthlyIncome', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",8092.142377465239,0.9195448394263168,28710.665520965475,28749.020618429953
185,"('Age', 'MonthlyIncome', 'TransactionTime', 'Record', 'CityTier_Tier_3')",8090.207608532152,0.9174545635538832,28755.093351415933,28787.969149242632
234,"('Age', 'MonthlyIncome', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2')",8087.728030026108,0.9193047841458307,28715.9418129063,28754.29691037078
191,"('Age', 'MonthlyIncome', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",8084.0907957907975,0.9171211519294166,28762.232240221758,28795.108038048456
215,"('MonthlyIncome', 'TransactionTime', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",8081.63830736352,0.916987439081661,28765.08718619034,28797.96298401704
249,"('Age', 'Items', 'MonthlyIncome', 'TransactionTime', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",8081.355915496953,0.9206340443369133,28687.521632324784,28731.356029427046
184,"('Age', 'MonthlyIncome', 'TransactionTime', 'Record', 'CityTier_Tier_2')",8074.944301603605,0.9166223739120577,28772.858455210702,28805.7342530374
253,"('Age', 'MonthlyIncome', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",8070.682937240331,0.9200542202570906,28700.412998762782,28744.247395865044
236,"('Age', 'MonthlyIncome', 'TransactionTime', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",8052.898175166736,0.917408508895379,28757.077487897728,28795.432585362207
5,"('Record',)",5409.93842365412,0.7358740601937901,30810.912036386297,30821.870635661864
31,"('Record', 'Gender_Male')",5313.500155438973,0.7387352191535844,30792.62150166345,30809.059400576796
18,"('Items', 'Record')",5305.406632337637,0.7381872240367924,30796.33223134114,30812.77013025449
12,"('Age', 'Record')",5282.810140540939,0.7366551060852925,30806.665846352687,30823.103745266035
33,"('Record', 'CityTier_Tier_3')",5278.39418271889,0.7363553169555108,30808.68078793532,30825.118686848666
32,"('Record', 'CityTier_Tier_2')",5273.143228542949,0.7359986829303293,30811.074813303236,30827.512712216583
27,"('TransactionTime', 'Record')",5269.806621642326,0.7357719776203051,30812.594967897912,30829.03286681126
67,"('Items', 'Record', 'Gender_Male')",5264.680044104099,0.7409163225422251,30778.772713834238,30800.68991238537
52,"('Age', 'Record', 'Gender_Male')",5245.891072510684,0.739647290200327,30787.426172868392,30809.343371419523
90,"('Record', 'Gender_Male', 'CityTier_Tier_3')",5238.861014658636,0.7391719105594962,30790.656904233074,30812.574102784205
39,"('Age', 'Items', 'Record')",5235.475461907091,0.7389428669446443,30792.21140798394,30814.128606535072
89,"('Record', 'Gender_Male', 'CityTier_Tier_2')",5233.905673862321,0.7388366416017629,30792.931889420102,30814.849087971234
83,"('TransactionTime', 'Record', 'Gender_Male')",5231.2836510733605,0.7386591789500174,30794.13488981967,30816.0520883708
69,"('Items', 'Record', 'CityTier_Tier_3')",5230.301030882554,0.7385926626764964,30794.585586083846,30816.502784634977
68,"('Items', 'Record', 'CityTier_Tier_2')",5226.074632793305,0.7383064978012401,30796.523254718057,30818.440453269188
63,"('Items', 'TransactionTime', 'Record')",5222.395253295221,0.7380572806236758,30798.209019134672,30820.126217685804
102,"('Age', 'Items', 'Record', 'Gender_Male')",5220.231765547146,0.7417990340086539,30773.725975663176,30801.12247385209
145,"('Items', 'Record', 'Gender_Male', 'CityTier_Tier_3')",5212.577880037287,0.7412829581528468,30777.26220628559,30804.658704474507
144,"('Items', 'Record', 'Gender_Male', 'CityTier_Tier_2')",5208.581184983757,0.7410133315521013,30779.106924581403,30806.503422770318
54,"('Age', 'Record', 'CityTier_Tier_3')",5207.940012777828,0.7370773610420742,30804.821913538333,30826.739112089464
138,"('Items', 'TransactionTime', 'Record', 'Gender_Male')",5205.486053844528,0.7408044591808678,30780.53465784925,30807.931156038165
53,"('Age', 'Record', 'CityTier_Tier_2')",5203.120512007603,0.7367503577571266,30807.023180738797,30828.94037928993
48,"('Age', 'TransactionTime', 'Record')",5200.090809793622,0.7365447180432766,30808.406072506088,30830.32327105722
85,"('TransactionTime', 'Record', 'CityTier_Tier_3')",5195.861091673564,0.7362575317072418,30810.335546033566,30832.252744584697
91,"('Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",5195.465596344099,0.7362306729247685,30810.515890451337,30832.43308900247
125,"('Age', 'Record', 'Gender_Male', 'CityTier_Tier_3')",5193.906210685332,0.7400224801233225,30785.86962633289,30813.266124521804
84,"('TransactionTime', 'Record', 'CityTier_Tier_2')",5190.582459703629,0.7358989697653802,30812.741612598686,30834.658811149817
124,"('Age', 'Record', 'Gender_Male', 'CityTier_Tier_2')",5189.406991970382,0.7397184279012888,30787.939658571955,30815.33615676087
118,"('Age', 'TransactionTime', 'Record', 'Gender_Male')",5187.074486135565,0.7395607505366169,30789.012197290616,30816.40869547953
104,"('Age', 'Items', 'Record', 'CityTier_Tier_3')",5183.132526441612,0.7392941976679699,30790.823843280203,30818.220341469118
159,"('TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_3')",5180.271669732585,0.7391006881118773,30792.137884995744,30819.53438318466
180,"('Age', 'Items', 'Record', 'Gender_Male', 'CityTier_Tier_3')",5180.207236992031,0.7421093097629408,30772.59339975961,30805.46919758631
162,"('Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",5179.454685960976,0.7390454176836244,30792.513024205735,30819.90952239465
103,"('Age', 'Items', 'Record', 'CityTier_Tier_2')",5179.2795661327855,0.739033569972869,30792.593428310014,30819.98992649893
179,"('Age', 'Items', 'Record', 'Gender_Male', 'CityTier_Tier_2')",5176.604845223688,0.7418665588674497,30774.259646903858,30807.135444730557
98,"('Age', 'Items', 'TransactionTime', 'Record')",5175.949127428878,0.7388082133798382,30794.122108845197,30821.51860703411
158,"('TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2')",5175.285037873252,0.738763269049354,30794.426825784674,30821.82332397359
173,"('Age', 'Items', 'TransactionTime', 'Record', 'Gender_Male')",5173.842605332626,0.7416803686563925,30775.53659885028,30808.41239667698
146,"('Items', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",5171.04255350151,0.7384760811409175,30796.37268700125,30823.769185190165
140,"('Items', 'TransactionTime', 'Record', 'CityTier_Tier_3')",5170.888420126835,0.7384656452364348,30796.44335594111,30823.839854130027
139,"('Items', 'TransactionTime', 'Record', 'CityTier_Tier_2')",5166.641430303881,0.738178036364483,30798.389851457054,30825.78634964597
209,"('Items', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_3')",5166.344972792645,0.7411747510670247,30778.999647872894,30811.875445699592
212,"('Items', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",5166.184066775906,0.7411638962727347,30779.073919751958,30811.949717578656
208,"('Items', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2')",5162.322324722403,0.7409033336582378,30780.855836077284,30813.731633903983
120,"('Age', 'TransactionTime', 'Record', 'CityTier_Tier_3')",5148.834907451164,0.7369709453587798,30806.536018143735,30833.93251633265
126,"('Age', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",5148.5193024829,0.7369495328990101,30806.680184433073,30834.076682621988
194,"('Age', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_3')",5148.063323456841,0.7399404437951683,30787.425264811147,30820.301062637845
197,"('Age', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",5147.358971242155,0.7398928474234567,30787.749365423944,30820.625163250643
119,"('Age', 'TransactionTime', 'Record', 'CityTier_Tier_2')",5143.9890918761375,0.7366421087170343,30808.748724111458,30836.145222300373
193,"('Age', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2')",5143.533992363645,0.7396343222405009,30789.50872003376,30822.384517860457
230,"('Age', 'Items', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_3')",5142.03014594047,0.7419939063231953,30774.382043045796,30812.737140510275
233,"('Age', 'Items', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",5141.921664067783,0.7419865961828152,30774.432220446757,30812.787317911236
229,"('Age', 'Items', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2')",5138.404195931186,0.7417495296541536,30776.058694320993,30814.41379178547
181,"('Age', 'Items', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",5136.7260884924945,0.7391739614777438,30792.637315893608,30825.513113720306
175,"('Age', 'Items', 'TransactionTime', 'Record', 'CityTier_Tier_3')",5136.550234036829,0.7391620661344921,30792.718083031144,30825.593880857843
160,"('TransactionTime', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",5136.493014965393,0.7361331361856999,30812.16810313074,30839.564601319657
218,"('TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",5133.777623032059,0.7389744927788777,30793.99118400333,30826.86698183003
174,"('Age', 'Items', 'TransactionTime', 'Record', 'CityTier_Tier_2')",5132.679164066853,0.738900166395656,30794.49540019543,30827.371198022127
245,"('Items', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",5128.118101842309,0.7410558434059129,30780.809397512105,30819.164494976583
210,"('Items', 'TransactionTime', 'Record', 'CityTier_Tier_2', 'CityTier_Tier_3')",5124.539366422481,0.7383491600817147,30798.228853226894,30831.104651053593
239,"('Age', 'TransactionTime', 'Record', 'Gender_Male', 'CityTier_Tier_2', 'CityTier_Tier_3')",5109.684307591196,0.73981105520703,30789.302495406813,30827.657592871292
